No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,   Jackpot, Wins,   Machine  ,Set
2229, Wed,3,May,2017,13,22,24,34,41,57,40,11684226,0,   Arthur   ,3
2228, Sat,29,Apr,2017,24,29,30,36,46,48,7,9994885,0,   Merlin   ,1
2227, Wed,26,Apr,2017,12,15,30,43,47,59,41,6947106,0,   Merlin   ,4
2226, Sat,22,Apr,2017,4,6,34,37,42,52,24,5430100,0,   Merlin   ,3
2225, Wed,19,Apr,2017,4,27,47,54,55,59,45,1951446,0,   Merlin   ,2
2224, Sat,15,Apr,2017,8,10,16,19,23,31,48,3421655,1,   Arthur   ,1
2223, Wed,12,Apr,2017,3,16,34,42,49,52,50,15107556,1,   Arthur   ,4
2222, Sat,8,Apr,2017,14,23,36,45,47,50,21,13409218,0,   Arthur   ,3
2221, Wed,5,Apr,2017,10,16,18,32,42,45,30,10353081,0,   Merlin   ,1
2220, Sat,1,Apr,2017,1,2,11,23,25,54,14,8647634,0,   Arthur   ,4
2219, Wed,29,Mar,2017,5,6,16,32,42,51,39,5597315,0,   Merlin   ,2
2218, Sat,25,Mar,2017,39,48,52,53,54,58,28,3566205,0,   Arthur   ,3
2217, Wed,22,Mar,2017,6,11,12,19,27,31,42,663276,3,   Merlin   ,1
2216, Sat,18,Mar,2017,3,8,19,26,37,41,43,19132964,1,   Merlin   ,3
2215, Wed,15,Mar,2017,6,24,27,38,39,58,55,16422135,0,   Merlin   ,3
2214, Sat,11,Mar,2017,6,15,23,29,55,57,46,15207601,0,   Arthur   ,2
2213, Wed,8,Mar,2017,11,19,22,42,43,49,48,12020527,0,   Arthur   ,4
2212, Sat,4,Mar,2017,24,38,39,40,49,56,21,10369492,0,   Merlin   ,1
2211, Wed,1,Mar,2017,2,7,21,22,47,53,42,7199492,0,   Arthur   ,2
2210, Sat,25,Feb,2017,18,24,34,38,41,49,26,5590553,0,   Merlin   ,4
2209, Wed,22,Feb,2017,1,16,28,31,38,54,5,2014488,0,   Arthur   ,1
2208, Sat,18,Feb,2017,11,13,21,37,49,59,4,15342900,1,   Merlin   ,3
2207, Wed,15,Feb,2017,17,23,28,38,47,56,31,12118230,0,   Arthur   ,4
2206, Sat,11,Feb,2017,15,18,23,42,43,52,28,10376181,0,   Arthur   ,2
2205, Wed,8,Feb,2017,7,23,41,44,49,54,37,7267133,0,   Arthur   ,6
2204, Sat,4,Feb,2017,6,9,27,30,40,50,22,5610040,0,   Merlin   ,5
2203, Wed,1,Feb,2017,6,8,15,31,45,58,39,2039290,0,   Merlin   ,7
2202, Sat,28,Jan,2017,5,21,23,34,43,45,20,4369877,2,  Lancelot  ,6
2201, Wed,25,Jan,2017,4,9,20,23,37,53,39,5552469,0,  Lancelot  ,8
2200, Sat,21,Jan,2017,4,13,37,40,52,58,51,3495493,0,   Merlin   ,5
2199, Wed,18,Jan,2017,8,14,20,27,28,53,45,6103436,2,   Merlin   ,7
2198, Sat,14,Jan,2017,14,19,21,36,53,54,33,10526484,0,   Merlin   ,8
2197, Wed,11,Jan,2017,21,26,29,35,46,59,10,7291956,0,   Merlin   ,6
2196, Sat,7,Jan,2017,8,16,33,36,45,51,38,5689783,0,  Lancelot  ,8
2195, Wed,4,Jan,2017,10,29,37,42,48,49,32,2024754,0,   Merlin   ,5
