No., Day,DD,MMM,YYYY, N1,N2,N3,N4,N5,N6,BN,   Jackpot, Wins,   Machine  ,Set
2273, Wed,4,Oct,2017,12,20,32,38,48,54,5,15785809,0,  Guinevere ,6
2272, Sat,30,Sep,2017,13,18,21,30,50,54,20,14544740,0,  Lancelot  ,7
2271, Wed,27,Sep,2017,30,35,45,47,52,55,40,11455122,0,  Guinevere ,8
2270, Sat,23,Sep,2017,17,18,26,39,54,56,57,9807442,0,  Lancelot  ,5
2269, Wed,20,Sep,2017,8,20,25,50,51,58,45,6883840,0,  Lancelot  ,5
2268, Sat,16,Sep,2017,1,6,31,37,49,50,38,5329846,0,  Guinevere ,8
2267, Wed,13,Sep,2017,4,11,14,21,29,56,27,1886160,0,  Lancelot  ,7
2266, Sat,9,Sep,2017,4,7,13,49,56,58,6,16976182,1,  Lancelot  ,6
2265, Wed,6,Sep,2017,16,30,34,50,52,53,46,14460089,0,  Lancelot  ,5
2264, Sat,2,Sep,2017,30,33,35,40,41,59,8,12810334,0,  Lancelot  ,7
2263, Wed,30,Aug,2017,34,42,46,57,58,59,38,9901377,0,  Lancelot  ,8
2262, Sat,26,Aug,2017,20,25,34,41,42,52,58,8348251,0,  Lancelot  ,6
2261, Wed,23,Aug,2017,8,16,21,41,44,56,45,5372825,0,  Lancelot  ,7
2260, Sat,19,Aug,2017,12,25,39,46,52,55,3,3380310,0,   Merlin   ,8
2259, Wed,16,Aug,2017,7,17,28,43,44,45,54,1903798,1,   Merlin   ,8
2258, Sat,12,Aug,2017,10,27,49,52,55,56,17,14402436,1,   Merlin   ,6
2257, Wed,9,Aug,2017,5,9,25,34,51,59,44,11398810,0,   Arthur   ,5
2256, Sat,5,Aug,2017,14,24,30,45,49,56,27,9799014,0,   Merlin   ,8
2255, Wed,2,Aug,2017,4,6,24,35,45,52,8,6863927,0,   Arthur   ,7
2254, Sat,29,Jul,2017,1,26,41,55,56,59,36,5411439,0,   Arthur   ,6
2253, Wed,26,Jul,2017,5,10,29,35,55,56,30,1967928,0,   Arthur   ,5
2252, Sat,22,Jul,2017,5,13,21,35,41,47,23,12791049,1,   Arthur   ,7
2251, Wed,19,Jul,2017,2,6,14,16,25,36,42,9855934,0,   Merlin   ,5
2250, Sat,15,Jul,2017,7,8,14,47,56,58,23,8270807,0,   Merlin   ,6
2249, Wed,12,Jul,2017,7,14,19,38,40,45,18,5348763,0,   Merlin   ,3
2248, Sat,8,Jul,2017,1,11,18,27,32,50,25,3352302,0,   Merlin   ,8
2247, Wed,5,Jul,2017,16,18,25,27,29,57,4,6981548,1,   Merlin   ,7
2246, Sat,1,Jul,2017,2,19,36,52,54,59,6,5481888,0,   Merlin   ,6
2245, Wed,28,Jun,2017,2,10,21,23,54,56,44,1986370,0,   Merlin   ,5
2244, Sat,24,Jun,2017,4,16,26,39,42,54,24,21387231,1,   Merlin   ,4
2243, Wed,21,Jun,2017,1,3,5,11,15,43,48,18700435,0,   Merlin   ,1
2242, Sat,17,Jun,2017,1,11,16,20,24,44,42,17407211,0,   Arthur   ,2
2241, Wed,14,Jun,2017,2,4,14,23,34,46,45,14877043,0,   Merlin   ,3
2240, Sat,10,Jun,2017,10,18,28,35,36,50,2,13178747,0,   Arthur   ,4
2239, Wed,7,Jun,2017,6,8,12,36,37,41,50,10140252,0,   Arthur   ,1
2238, Sat,3,Jun,2017,12,19,21,38,47,51,48,8496269,0,   Merlin   ,2
2237, Wed,31,May,2017,18,23,28,52,56,59,36,5558072,0,   Arthur   ,3
2236, Sat,27,May,2017,20,22,31,39,41,54,33,3494644,0,   Arthur   ,4
2235, Wed,24,May,2017,3,30,44,45,55,59,37,25442066,0,   Arthur   ,1
2234, Sat,20,May,2017,7,8,13,29,43,53,16,23036730,0,   Merlin   ,1
2233, Wed,17,May,2017,3,19,20,24,30,38,41,20114637,0,   Merlin   ,2
2232, Sat,13,May,2017,7,14,15,21,23,57,52,18754003,0,   Arthur   ,2
2231, Wed,10,May,2017,7,12,17,35,37,58,25,16042516,0,   Merlin   ,4
2230, Sat,6,May,2017,5,34,36,38,39,48,30,14794798,0,   Merlin   ,2
